Source Name	Comment[ENA_SAMPLE]	Comment[ENA_ALIAS]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[genotype]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[initial time point]	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Comment[RIBOSOMAL_RNA_TREATMENTS]	Extract Name	Comment[library_name]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Protocol REF	Performer	Assay Name	Technology Type	Comment[technical replicate group]	Comment[ENA_EXPERIMENT]	Comment[INSTRUMENT_MODEL]	Comment[DATE_FIRST_PUBLIC]	Scan Name	Comment[ENA_RUN]	Comment[LINK_TO_PROTOCOLS]	Comment[Center]	Comment[FASTQ_URI]	Factor Value[developmental stage]	Term Source REF	Term Accession Number	Factor Value[sex]	Factor Value[organism part]	Term Source REF	Term Accession Number
SRS001788	SRS001788	Caenorhabditis elegans mid-L2 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L2 larva Ce	WBls	WBls:0000027	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L2 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows: L2 worms were grown for 17.75 hours (Pn.p cells visible but not divided, gonad just starting to proliferate).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001788 extract_SINGLE	L2_ce0109_rw001	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001872	sequencing assay	1	SRX001872	Illumina Genome Analyzer	26/02/2010	SRR006511	SRR006511	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006511/SRR006511.fastq.gz	L2 larva Ce	WBls	WBls:0000027	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001788	SRS001788	Caenorhabditis elegans mid-L2 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L2 larva Ce	WBls	WBls:0000027	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L2 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows: L2 worms were grown for 17.75 hours (Pn.p cells visible but not divided, gonad just starting to proliferate).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001788 extract_SINGLE	L2_ce0109_rw001	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001872	sequencing assay	1	SRX001872	Illumina Genome Analyzer	26/02/2010	SRR006512	SRR006512	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006512/SRR006512.fastq.gz	L2 larva Ce	WBls	WBls:0000027	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001788	SRS001788	Caenorhabditis elegans mid-L2 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L2 larva Ce	WBls	WBls:0000027	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L2 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows: L2 worms were grown for 17.75 hours (Pn.p cells visible but not divided, gonad just starting to proliferate).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001788 extract_SINGLE	L2_ce0109_rw001	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001872	sequencing assay	1	SRX001872	Illumina Genome Analyzer	26/02/2010	SRR006513	SRR006513	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006513/SRR006513.fastq.gz	L2 larva Ce	WBls	WBls:0000027	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001789	SRS001789	Caenorhabditis elegans YA (pre-gravid) RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	newly molted young adult hermaphrodite Ce	WBls	WBls:0000063	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-YA stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  Young Adult for 46 hours (vulvae fully formed and oocytes  present in gonad, but no embryos).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001789 extract_SINGLE	YA_ce0122_rw004	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001873	sequencing assay	2	SRX001873	Illumina Genome Analyzer	26/02/2010	SRR006514	SRR006514	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006514/SRR006514.fastq.gz	newly molted young adult hermaphrodite Ce	WBls	WBls:0000063	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001789	SRS001789	Caenorhabditis elegans YA (pre-gravid) RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	newly molted young adult hermaphrodite Ce	WBls	WBls:0000063	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-YA stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  Young Adult for 46 hours (vulvae fully formed and oocytes  present in gonad, but no embryos).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001789 extract_SINGLE	YA_ce0122_rw004	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001873	sequencing assay	2	SRX001873	Illumina Genome Analyzer	26/02/2010	SRR006515	SRR006515	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006515/SRR006515.fastq.gz	newly molted young adult hermaphrodite Ce	WBls	WBls:0000063	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001789	SRS001789	Caenorhabditis elegans YA (pre-gravid) RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	newly molted young adult hermaphrodite Ce	WBls	WBls:0000063	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-YA stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  Young Adult for 46 hours (vulvae fully formed and oocytes  present in gonad, but no embryos).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001789 extract_SINGLE	YA_ce0122_rw004	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001873	sequencing assay	2	SRX001873	Illumina Genome Analyzer	26/02/2010	SRR006516	SRR006516	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006516/SRR006516.fastq.gz	newly molted young adult hermaphrodite Ce	WBls	WBls:0000063	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001790	SRS001790	Caenorhabditis elegans mid L3 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L3 larva Ce	WBls	WBls:0000035	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L3 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  L3 for 26.75 hours (Pn.p cells divided once or twice; gonad  just starting to turn up).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001790 extract_SINGLE	L3_ce0120_rw002	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001875	sequencing assay	3	SRX001875	Illumina Genome Analyzer	26/02/2010	SRR006519	SRR006519	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006519/SRR006519.fastq.gz	L3 larva Ce	WBls	WBls:0000035	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001790	SRS001790	Caenorhabditis elegans mid L3 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L3 larva Ce	WBls	WBls:0000035	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L3 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  L3 for 26.75 hours (Pn.p cells divided once or twice; gonad  just starting to turn up).	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001790 extract_SINGLE	L3_ce0120_rw002	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001875	sequencing assay	3	SRX001875	Illumina Genome Analyzer	26/02/2010	SRR006520	SRR006520	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006520/SRR006520.fastq.gz	L3 larva Ce	WBls	WBls:0000035	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001791	SRS001791	Caenorhabditis elegans mid L4 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L4 larva Ce	WBls	WBls:0000038	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L4 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  L4 for 34.25 hours (vulvae are in Christmas tree stage gonad  has passed bend, sperm are present)	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001791 extract_SINGLE	L4_ce0121_rw003	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001874	sequencing assay	4	SRX001874	Illumina Genome Analyzer	26/02/2010	SRR006517	SRR006517	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006517/SRR006517.fastq.gz	L4 larva Ce	WBls	WBls:0000038	hermaphrodite	organism	WBbt	WBbt:0007833
SRS001791	SRS001791	Caenorhabditis elegans mid L4 RNA sample 1	Caenorhabditis elegans	NCBI Taxonomy	6239	N2	wild type genotype	L4 larva Ce	WBls	WBls:0000038	hermaphrodite	organism	WBbt	WBbt:0007833	  	  	  	Animals were synchronized by treating a mixed population with bleach to collect embryos.  The embryos were incubated without food, causing the larvae to arrest at the L1 stage upon hatching.  Starved L1 larvae were plated in the presence of food and raised at 25 degrees Celsius. Staging was determined by examining a subset of animals under Nomarski optics at intervals for vulval and germline development.  Animals were collected at mid-L4 stage and washed in S basal buffer.  Exact times for growth after plating of starved L1s (all at 25 degrees C) were as follows:  L4 for 34.25 hours (vulvae are in Christmas tree stage gonad  has passed bend, sperm are present)	P-MTAB-40464	P-MTAB-40465	P-MTAB-40466	P-MTAB-40468	  	SRS001791 extract_SINGLE	L4_ce0121_rw003	cDNA	TRANSCRIPTOMIC	EST	SINGLE	P-MTAB-40469	UWGS-RW	SRX001874	sequencing assay	4	SRX001874	Illumina Genome Analyzer	26/02/2010	SRR006518	SRR006518	  	UWGS-RW	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006518/SRR006518.fastq.gz	L4 larva Ce	WBls	WBls:0000038	hermaphrodite	organism	WBbt	WBbt:0007833
